input,type,operator,status,plan,message,captured_at
12345678901,cpf,unimed,pending,,mapeamento pendente,2025-10-27T01:33:41.700845
12345678901,cpf,amil,pending,,mapeamento pendente,2025-10-27T01:33:42.314213
12345678901,cpf,bradesco,pending,,mapeamento pendente,2025-10-27T01:33:43.452500
12345678901,cpf,seguros_unimed,pending,,mapeamento pendente,2025-10-27T01:33:44.599825
12345678901,cpf,sulamerica,pending,,login requerido (inativo nesta fase),2025-10-27T01:33:45.510771
12345678000195,cnpj,unimed,pending,,mapeamento pendente,2025-10-27T01:33:46.310444
12345678000195,cnpj,amil,pending,,mapeamento pendente,2025-10-27T01:33:46.928658
12345678000195,cnpj,bradesco,pending,,mapeamento pendente,2025-10-27T01:33:48.124096
12345678000195,cnpj,seguros_unimed,pending,,mapeamento pendente,2025-10-27T01:33:49.041877
12345678000195,cnpj,sulamerica,pending,,login requerido (inativo nesta fase),2025-10-27T01:33:50.122204
,unknown,,invalid,,identificador inválido (esperado CPF/CNPJ),2025-10-27T01:33:50.122217
